source_id	source_role	exact_location	capability	adaptation_boundary	lineage_status	target_hpfa_use
S01	CURRENT_PRODUCT	hpfa/modules/postmatch/context_signal_apparatus/src/signal_profile.py	action entropy;tempo CV;zone-power proxy;low-value-loop candidate	sterile/chaos labels remain review-bounded candidates	UNIQUE_CURRENT_PRODUCER	distribution and rhythm diagnostics
S02	CURRENT_PRODUCT	hpfa/modules/core/metric_fusion_engine/policies/eventonly_metric_allowlist_v1.json	event-only metric admission and blocked truth policy	allowlist is policy, not producer	UNIQUE_CURRENT_POLICY	metric gate
S03	CURRENT_PRODUCT	PR #208 branch agent/match-context-slicer-lite-v1	phase-aware sequence refinement;context slices;micro-action overlay	exact-head phone ACTIVE_MATCH evidence still required	CURRENT_HEAD_CI_SUCCESS	downstream sequence/context spine
S04	DONOR_SUPPORT	HP-Motor/hp_motor/segmentation/possessions.py	possession-id contiguous runs;team-run fallback	team-run fallback cannot become possession truth	DONOR_UNIQUE_PRIMITIVE	degraded grouping reference
S05	DONOR_SUPPORT	HP-Motor/hp_motor/segmentation/sequences.py	phase or set-piece change sequence split	phase/set-piece labels require HPFA semantic gates	DONOR_UNIQUE_PRIMITIVE	sequence split reference
S06	DONOR_SUPPORT	HP-Motor/hp_motor/segmentation/phase_tagger.py	event/outcome/coordinate phase heuristics	heuristic phase labels cannot become clean phase truth	DONOR_UNIQUE_PRIMITIVE	feature and rule reference only
S07	DONOR_SUPPORT	HP-Motor/hp_motor/engine/entropy.py	Shannon entropy on action labels	entropy is distributional diagnostic only	DONOR_UNIQUE_PRIMITIVE	action entropy formula reference
S08	DONOR_SUPPORT	HP-Engine/HP_ENGINE/sequence/live/hp_sequence_engine.py	team-switch and break boundaries;duration;zones;progression;terminal action	sequence-type names and thresholds cannot be copied as truth	DONOR_LIVE_WITH_MULTIPLE_VARIANTS	sequence feature donor
S09	DONOR_SUPPORT	HP-Engine/HP_ENGINE/pattern/_bind_ready/hp_pattern_engine.py	sequence rates;corridor change;central progression;concentration	bias/pattern activation thresholds require new contract	DONOR_BIND_READY_WITH_DUPLICATE_VARIANTS	pattern feature donor
S10	DONOR_SUPPORT	HP-Engine/HP_ENGINE/temporal/_merge_lab/hp_temporal_engine__20260309_162910/src/hp_temporal_metric_engine_v1.py	event density;cadence;cluster;rhythm stability;temporal entropy	attack/press labels must be renamed to neutral action-family signals	DONOR_MERGE_LAB_NOT_PRODUCT	temporal formula donor
S11	DONOR_SUPPORT	HP-PROJELERI canonical event schema draft	time model;coordinate model;event type/outcome;related event fields	draft schema is not runtime authority or canonical identity truth	DONOR_DRAFT_SCHEMA	contract field reference
S12	DONOR_SUPPORT	Dropbox B05 SEQUENCE_PROCESS_CONSEQUENCE_ENGINE_CONTRACT_B05.md	chain;window;trace;consequence;survival;counter-scenario	CLAIM_GATE remains closed	DONOR_CONTRACT_UNIQUE	sequence consequence architecture
S13	DONOR_SUPPORT	Dropbox B05 CONSEQUENCE_MAPPING_RULES_B05.csv	anchor-specific prior/follow-up windows and outcomes	consequence does not prove quality or causality	DONOR_RULESET_UNIQUE	anchor outcome map
S14	DONOR_SUPPORT	Dropbox B06 EVENTONLY_METRIC_PRIMITIVE_REGISTRY_B06.csv	sequence survival;adverse consequence;regain stabilization;restart yield;reliability metrics	metric names require HPFA contract and tests	DONOR_REGISTRY_UNIQUE	metric candidate registry
S15	DONOR_SUPPORT	Dropbox B06 METRIC_DENOMINATOR_RULES_B06.csv	family-specific denominator and fail actions	missing denominator must block metric	DONOR_RULESET_UNIQUE	denominator contract
S16	DONOR_SUPPORT	Dropbox SPORTSBASE_SURFACE_DICTIONARY_v1.txt	CSV/XML/XLSX observed field and surface roles	rows/instances are not canonical events	DONOR_SURFACE_DICTIONARY_UNIQUE	input semantics
S17	REFERENCE_ONLY	Google Drive An Event-Based Framework for Measuring Match Rhythm	sequence cadence;event density;pattern recurrence	tracking-dependent sections ignored	REFERENCE_RESEARCH	match-local rhythm concept
S18	REFERENCE_ONLY	Google Drive event-sequence-pattern-metric-claim corpus	layered analyst intelligence architecture	Drive cannot override ACTIVE_MATCH	REFERENCE_CORPUS	architecture and analyst language
S19	BLOCKED_SOURCE	tracking/video/360/GPS materials	opponent positions;off-ball movement;physical tracking	permanent project de-scope	EXCLUDED_NO_RESEARCH	NONE
