capability_id	capability_family	required_surface	minimum_gate	candidate_outputs	blocked_truth	product_priority
E01	surface_integrity	CSV XML XLSX file surfaces	file_inventory+schema_read	file_kind;header_tag_sheet_inventory;cross_format_conformance;missingness_conflict_diagnostics	canonical_event_truth;complete_event_truth	1
E02	event_label_semantics	action code label group text outcome	provider_alias_gate+unknown_label_quarantine	action_family_candidate;outcome_semantics_candidate;restart_candidate	validated_identity_without_gate;provider_label_truth	2
E03	temporal_rhythm	ordered start/end timestamps	time_order_gate	event_density;inter_action_gap;tempo_cv;cluster_candidate;rhythm_stability_candidate;temporal_entropy	physical_intensity;fatigue;dominance	8
E04	coordinate_zone_lane	start/end coordinates	coordinate_sanity+orientation_state	start_end_zone;lane_surface;territorial_gain_proxy;threshold_crossing;corridor_change_proxy	occupation;pitch_control;opponent_displacement	5
E05	phase_state_candidate	action family outcome time coordinates	semantic_gate+phase_claim_gate	build_progress_finalization_candidate;transition_trigger_candidate;restart_context;phase_persistence	clean_phase_truth;tactical_phase_truth	6
E06	possession_sequence_candidate	ordered rows possession id team reference break labels	identity_gate+order_gate	validated_possession_runs;degraded_team_run_candidate;visible_sequence;terminal_action;trace_signature	possession_truth;sequence_truth	3
E07	progression_circulation	progression labels coordinates outcomes	progression_contract+orientation_gate	coordinate_progression;zone_advancement;backward_reset;horizontal_recirculation;GK_reset;corridor_reorientation	line_break_truth;packing_truth	4
E08	sequence_consequence	anchor action plus ordered prior/follow-up windows	anchor_eligibility+window_integrity+denominator_gate	sequence_survival_rate;adverse_consequence_rate;progression_followup_support;regain_stabilization_rate;restart_trace_yield	causality;player_quality;team_quality	3
E09	turnover_regain_risk	loss recovery opponent next-action surfaces	team_identity+order_gate	loss_zone;recovery_latency;opponent_followup_candidate;repeat_loss_cluster;loss_severity_candidate	rest_defence_truth;counterpress_truth;pressing_truth	6
E10	shot_chain	shot labels coordinates outcomes prior actions	shot_semantics+order_gate	pre_shot_trace;isolated_shot_candidate;shot_after_progression;shot_after_restart;repeat_shot_window	chance_quality_truth_without_validated_metric	7
E11	restart_process	restart labels location time next actions	restart_semantics+window_gate	restart_inventory;first_action;next5_trace;restart_yield_candidate	rehearsed_plan;coach_intention	7
E12	player_event_behaviour	player candidate action sequence aggregate surfaces	player_identity+minutes_gate	action_distribution;progression_contribution;loss_recovery_profile;sequence_participation;per90;percentile;robust_z	mentality;intelligence;potential;transfer_verdict	9
E13	team_match_local_identity	team candidate event sequence context surfaces	team_identity+match_local_gate	action_mix;sequence_distribution;progression_circulation_mix;loss_regain_response;rhythm_candidate;tactical_identity_truth	9
E14	process_trace_recurrence	ordered action-family traces	order_gate+trace_contract	n_gram_frequency;repeat_build_trace;repeat_failure_trace;rare_trace_candidate;transition_matrix	team_plan;intent	5
E15	relation_graph	visible actor team action receiver zone relations	relation_identity_gate	actor_action_graph;team_action_graph;sequence_participation_graph;zone_transition_graph;degree_centrality_diagnostic	off_ball_network;formation_truth	10
E16	distribution_complexity	action zone lane sequence temporal distributions	distribution_denominator_gate	action_entropy;zone_entropy;lane_entropy;trace_diversity;concentration_index;low_value_loop_candidate	creativity;chaos;tactical_quality	8
E17	normalization_comparison	minutes possession sequence opportunity denominators	denominator_gate+comparison_group_gate	per90;per_possession_candidate;per_sequence_candidate;percentile;z_score;robust_z_score	quality_truth;cross_match_truth_without_identity	9
E18	reliability_falsification	all derived outputs	source_role+counter_scenario+claim_ceiling	source_alignment;missingness_penalty;conflict_penalty;metric_stability;construct_warning;PASS_WARN_FAIL_BLOCKED	truth_from_formula	1
E19	analyst_output	claim-safe evidence atoms and metrics	football_output_audit	match_local_behaviour_brief;sequence_consequence_report;progression_report;loss_regain_board;restart_report;rhythm_report;match_story	tactical_truth;off_ball_truth;dominance_truth	10
