source_id	source_role	current_status	reuse_decision	allowed_use	blocked_use	lineage_note
hpfa_provider_label_value_semantics_lite_v1	PRODUCT_PRODUCER	IMPLEMENTED_CANDIDATE	REUSE	provider-label candidate mapping; action family/outcome/direction/distance/zone/progression dimensions	validated provider truth; direct progression truth	current integration branch authority
hpfa_selected_action_consequence_surface_lite_v1	PRODUCT_PRODUCER	IMPLEMENTED_REVIEW_BOUNDED	REUSE_NO_REIMPLEMENT	visible follow-up windows; retention/handover/breakdown response candidates	new parallel consequence windows; causality truth	upstream of PR #213 metric engine
hpfa_selected_event_consequence_surface_lite_v1	PRODUCT_PRODUCER	IMPLEMENTED_REVIEW_BOUNDED	REUSE_AND_HARDEN	coordinate scale candidate; team-period attack direction candidate; zone delta; turnover window; false progression; consequence class	validated coordinate/provider truth; xT; line-break truth	conceptual selected_event_consequence_surface_v1 maps here
hpfa_eventonly_sequence_consequence_engine_lite_v1	PRODUCT_PRODUCER	ACTIVE_MATCH_EXECUTED_REVIEW_REQUIRED	REUSE	denominator-gated sequence survival; adverse consequence; regain stabilization; restart yield	progression metrics before semantics gate; sequence/causality truth	PR #213 merged; PR #215 evidence closure
hpfa_aggregate_definition_alignment_lite_v1	PRODUCT_PRODUCER	REVIEW_BOUNDED	REUSE_AS_SUPPORT	aggregate definition/derivation support and mismatch reasons	count parity as definition equivalence; independent occurrence truth	XLSX remains aggregate-support surface
hp_motor_metrics_factory	DONOR_SUPPORT	REFERENCE_ONLY	ADAPT_NOT_COPY	explicit versioned dx threshold pattern; coordinate presence requirement	fixed increasing-x and fixed threshold transplant	donor assumes event list and stable direction
hp_engine_progressive_passes_encyclopedia	DONOR_SUPPORT	REFERENCE_ONLY	ADAPT_NOT_COPY	provider-dependent threshold warning; metadata/exclusion requirements	fixed 0-100/increasing-x policy; intention or line-break truth	formula and boundary donor only
hp_engine_sequence_live	DONOR_SUPPORT	REFERENCE_ONLY	ADAPT_NOT_COPY	start/end zone; progression span; duration; terminal action primitives	direct_attack; transition_attack; sustained_possession truth; canonical input authority	merge_lab and live variants require duplicate-lineage control
hp_projelERI_governance_schema	DONOR_SUPPORT	UNVERIFIED_CODE_SEARCH	GOVERNANCE_ONLY	schema/governance naming and claim ceilings	formula authority; runtime truth	private repo not code-search indexed in current connector
drive_dropbox_papers	REFERENCE_ONLY	NOT_RUNTIME_AUTHORITY	CONCEPT_BOUNDARY_ONLY	event-only definitions; uncertainty; denominator and claim-ceiling support	ACTIVE_MATCH override; direct module import	donor sources never override runtime/active_single_match/current
active_match_runtime	ACTIVE_MATCH_AUTHORITY	CURRENT_RUNTIME_TRUTH	AUTHORITATIVE_FOR_MATCH_EVIDENCE	exact runtime outputs and evidence bundles	donor or document override	runtime/active_single_match/current
