asset_pattern	current_class	canonical_target	action_type	risk
pyproject.toml	packaging_root	repo_root	keep	package metadata review needed
docs/*	productization_docs	docs/productization_or_architecture	classify_later	mixed governance material
runtime_evidence/*	runtime_evidence	runtime_evidence	keep_as_evidence	not product code
tools/*	release_or_ops_tools	tools_or_ops	keep_with_review	tool not runtime authority
configs/hpfa_canon/*	canon_config	configs/hpfa_canon	keep_with_review	needs config audit
hpfa-main/*	legacy_or_imported_structure	git_history_or_external_legacy_reference	remove_current_tree	zero current reachability; legacy semantics conflict with current ZFGV truth locks
graphics_pack/*	research_pack	docs/brand/HPFA_ANALYST_VISUALIZATION_POLICY_V1.md	remove_current_tree	useful visual concepts distilled; event-only and unsafe proxy names rejected
data_inbox/*	inbox_or_drift_report	git_history_after_vocabulary_distillation	remove_current_tree	raw XLSX vocabulary distilled to provider metric dictionary owner; legacy code/reports are non-authoritative
progression_docs	progression_productization_docs	docs/productization/progression_engine	group_later	decision docs not runtime contracts
progression_evidence	progression_runtime_evidence	runtime_evidence/postmatch_release_0_1/progression_engine	keep_as_evidence	no production promotion
module_code_missing	product_code_gap	hpfa/modules/postmatch/progression_engine	create_later	canonical module skeleton missing
contracts_missing	contract_gap	hpfa/modules/postmatch/progression_engine/contracts	create_later	contracts missing
tests_missing	test_gap	hpfa/modules/postmatch/progression_engine/tests	create_later	tests missing
restricted_patterns	restricted_not_packaged	restricted_not_packaged	review_gate_required	non-canonical material
data/keepbox/*	historical_match_data	git_history_or_external_data_store	remove_current_tree	zero current reachability; provider-data redistribution not assumed
data/quarantine/*	historical_or_quarantined_match_data	git_history_or_external_data_store	remove_current_tree	zero current reachability; quarantine is not product source
